characteristics,target,targetsd,comparator,comparatorsd,tag,isNa,targetsize,comparatorsize,typeofstatistics
Age mean,65.1,,65,,Demographics,,8280,8212,mean
Age >75,1169,,1161,,Demographics,,,,category
Female sex,2768,,2687,,Demographics,,,,category
White race,6241,,6166,,Demographics,Y,,,category
Hispanic ethnic group,1778,,1763,,Demographics,Y,,,category
Weight mean,87.7,18.7,88.1,19.4,Demographics,,,,mean
Weight >= 80kg,5291,,5265,,Demographics,,,,category
BMI mean,31.1,5.5,31.2,5.7,Demographics,,,,mean
BMI >= 30,4446,,4370,,Demographics,,,,category
Duration of diabetes median,10.3,,10.3,,Duration of diabetes ,Y,,,continuous
Duration of diabetes IQR,5.2-16.7,,5.3-16.6,,Duration of diabetes ,Y,,,IQR
Established atherosclerotic disease,6494,,6465,,Medical history,,,,category
Hypertension,6725,,6767,,Medical history,,,,category
Dyslipidemia,5895,,5844,,Medical history,,,,category
Prior myocardial infarction,3147,,3090,,Medical history,,,,category
Prior heart failure,1056,,1049,,Medical history,,,,category
Prior coronary revascularization,3566,,3557,,Medical history,,,,category
Glycated hemoglobin mean,8,1.4,8,1.4,Glycated hemoglobin,,,,mean
Glycated hemoglobin <6.5%,590,,673,,Glycated hemoglobin,,,,category
Glycated hemoglobin 6.5 to <7.0%,1442,,1414,,Glycated hemoglobin,,,,category
Glycated hemoglobin 7.0 to <8.0%,2759,,2657,,Glycated hemoglobin,,,,category
Glycated hemoglobin 8.0 to <9.0%,1557,,1562,,Glycated hemoglobin,,,,category
Glycated hemoglobin >=9%,1761,,1764,,Glycated hemoglobin,,,,category
Fasting serum glucose — mg/dl,156,56,157,57,Fasting serum glucose — mg/dl,,,,mean
Estimated glomerular filtration rate mean - ml/min,72.5,22.6,72.7,22.6,Estimated glomerular filtration rate,,,,mean
Estimated glomerular filtration rate <30 - ml/min,172,,164,,Estimated glomerular filtration rate,,,,category
Estimated glomerular filtration rate 30 to <=50 - ml/min,1122,,1118,,Estimated glomerular filtration rate,,,,category
Estimated glomerular filtration rate > 50 - ml/min,6986,,6930,,Estimated glomerular filtration rate,,,,category
Albumin-to-creatinine ratio median,1.8,,1.9,,Albumin-to-creatinine ratio,,,,median
Albumin-to-creatinine ratio IQR,0.7-7.5,,0.7-7.9,,Albumin-to-creatinine ratio,Y,,,IQR
Albumin-to-creatinine ratio < 3.4,4867,,4829,,Albumin-to-creatinine ratio,,,,category
Albumin-to-creatinine ratio 3.4 to 33.9,2217,,2209,,Albumin-to-creatinine ratio,,,,category
Albumin-to-creatinine ratio > 33.9,832,,806,,Albumin-to-creatinine ratio,,,,category
