characteristics,target,targetSd,comparator,comparatorSd,tag,isNa,targetSize,comparatorSize,statistics,analysisId,conceptIds,hasValue,summary,conceptSetId
Age mean,66.1,9.1,65.6,9.1,Demographics,,3494,3485,mean,2,1,,Y,NA
Sex male,2148,,2242,,Demographics,,,,n,1,8507,,,NA
Sex female,1346,,1243,,Demographics,,,,n,1,8532,,,NA
Race,0,,0,,Demographics,Y,,,n,,,,,NA
Region,0,,0,,Demographics,Y,,,n,,,,,NA
Smoking status,0,,0,,Demographics,Y,,,n,,,,,NA
History of heart failure,952,,921,,Medical history,,,,n,210,312927;314378;316139;316994;319835;439694;439696;439698;439846;442310;443580;443587;444031;444101;762002;762003;764871;764872;764873;764874;764876;764877;3184320;4004279;4009047;4014159;4023479;4030258;4071869;4079296;4079695;4103448;4108244;4108245;4111554;4124705;4138307;4139864;4141124;4142561;4172864;4177493;4185565;4193236;4195785;4195892;4199500;4205558;4206009;4215446;4215802;4229440;4233224;4233424;4242669;4259490;4264636;4267800;4273632;4284562;4307356;4311437;4327205;35615055;36712927;36712928;36712929;36713488;36716182;36716748;36717359;37110330;37309625;37311948;40479192;40479576;40480602;40480603;40481042;40481043;40482857;40486933;42598803;43020421;43020657;43021735;43021736;43021825;43021826;43021840;43021841;43021842;43022054;43022068;43530642;43530643;43530961;44782428;44782655;44782713;44782718;44782719;44782728;44782733;44784345;44784442;45766164;45766165;45766166;45766167;45766964;45773075,,,191
Ischemic heart disease,2029,,2052,,Medical history,,,,n,210,312327;314666;315286;315296;315830;315832;316427;319039;319844;321318;434376;436706;438168;438170;438438;438447;439693;441579;444406;761735;761736;761737;764123;764149;765132;3183233;3188631;3189643;4011131;4030582;4051874;4068741;4068938;4069185;4078531;4096252;4100132;4100397;4100871;4101319;4102852;4108217;4108218;4108669;4108670;4108677;4108722;4116486;4119455;4119456;4119457;4119942;4119943;4119944;4119945;4119946;4119947;4119948;4119949;4119950;4121464;4121465;4121466;4121467;4121468;4124683;4124684;4124685;4124686;4126801;4131824;4138833;4145721;4147223;4151046;4154704;4155008;4155009;4155963;4161456;4161457;4161973;4161974;4170094;4172865;4173171;4173632;4178129;4182190;4184827;4185302;4185932;4186397;4189939;4198141;4200113;4201629;4206867;4207921;4209541;4215140;4215259;4219755;4231426;4236169;4243372;4262446;4263712;4264145;4267568;4270024;4273462;4275436;4296653;4303359;4310270;4317287;4323202;4324413;4324893;4329847;35610087;35610089;35610091;35610093;35611570;35611571;35615052;35615053;35615119;35622329;36712982;36712983;36712984;36714444;37016755;37017177;37108686;37109910;37115756;37209632;37309626;37309713;40481919;40483752;40487039;40487573;40489421;42536628;42536629;43020460;43021064;43021065;43021066;43021610;43021955;43022035;43531588;44782712;44782769;44783791;44825431;45766075;45766076;45766113;45766114;45766115;45766116;45766117;45766150;45766151;45766241;45771322;45773170;46270158;46270159;46270160;46270161;46270162;46270163;46270164;46273495;46274044,,,283
History of hypertension,3171,,3178,,Medical history,,,,n,210,132685;134414;135601;136743;136760;137940;141084;141639;192684;197930;200157;201912;312648;314090;314103;314423;314958;316866;317895;317898;318437;319826;320128;320456;321074;321080;321638;433536;438490;439077;439393;441922;443771;762994;3169253;3191244;4006325;4023318;4028741;4028951;4032952;4034031;4034094;4034095;4035655;4048212;4049389;4057976;4057978;4057979;4058987;4061667;4062550;4062811;4062906;4071202;4080325;4083723;4094374;4108213;4110947;4110948;4118910;4146627;4146816;4148205;4151903;4159755;4162306;4167358;4167493;4174979;4178312;4179379;4180283;4199306;4209293;4212496;4215640;4217486;4218088;4219323;4221991;4227607;4242878;4249016;4253928;4262182;4263067;4269358;4276511;4277110;4279525;4283352;4289142;4289933;4291933;4302591;4304837;4305599;4311246;4316372;4321603;4322735;35622939;35624277;36713024;36715087;37016726;37208172;37208293;40481896;42538697;42538946;42873163;43020424;43021830;44783643;44783644;44784483;44784484;44809026;44809027;44809548;44809569;44811110;44811932;44811933;45757119;45757137;45757356;45757444;45757445;45757446;45757447;45757787;45757788;45768449;45771064;45771067,,,241
Atrial fibrillation,319,,354,,Medical history,,,,n,210,313217;4108832;4117112;4119601;4119602;4141360;4154290;4199501;4232691;4232697;37395821;44782442;45768480,,,157
