characteristics,target,targetSd,comparator,comparatorSd,tag,isNa,targetSize,comparatorSize,statistics,analysisId,conceptIds,hasValue,summary,conceptSetId
Age years,65.4,7.9,65.5,8,Demographics,,7332,7339,mean,2,1,,Y,NA
Female sex,2134,,2163,,Demographics,,,,n,1,8532,,,NA
Race/Ethnicity,0,,0,,Demographics,Y,,,n,,,,,NA
Hispanic or Latino,0,,0,,Demographics,Y,,,n,,,,,NA
Duration of diabetes (years),11.6,8.1,11.6,8.1,Duration of diabetes,Y,,,continuous,,,,,NA
Qualifying HbA1c (%),7.2,0.5,7.2,0,Lab values,,,,mean,705,2212392;3004410,,Y,124
Body mass index (kg/m2 ),30.2,5.6,30.2,5.7,Demographics,,,,mean,705,3038553;40762636,,Y,117
Systolic blood pressure (mmHg),135,16.9,135,17.1,Lab values,,,,mean,705,3004249,,Y,121
Diastolic blood pressure (mmHg),771.1,10.3,77.2,10.6,Lab values,,,,mean,705,3012888,,Y,120
eGFR (mL/min/1.73 m2 ),74.9,21.3,74.9,20.9,Lab values,,,,mean,705,3029859;3049187;3053283;40771922;46236952,,Y,122
eGFR < 50 (mL/min/1.73 m2 ),686,,683,,Lab values,,,,n,705,3029859;3049187;3053283;40771922;46236952,covariateValue < 50,,122
Urinary albumin:creatinine ratio median (mg/g),10.3,,11.4,,Lab values,,,,median,705,3001802;3020682;3034485,,Y,114
Total cholesterol (mg/dL),166.1,44.8,165.4,45.9,Lab values,,,,mean,705,3027114;3037598,,Y,132
LDL cholesterol (mg/dL),91.2,63.8,90.7,51.2,Lab values,,,,mean,705,3028288;3028437;3035899,,Y,129
HDL cholesterol (mg/dL),43.5,12,43.4,13,Lab values,,,,mean,705,3007070,,Y,127
Triglycerides (mg/dL),166,101,164.8,98.8,Lab values,,,,mean,705,3014600;3022192,,Y,133
Prior cardiovascular disease,5397,,5466,,Prior cardiovascular disease,,,,n,210,,,,389
