atlasId,cohortId,id,cohortName
9,9,9,[TROY] 3P MACE
10,10,10,[TROY] 3P MACE + unstable angina
11,11,11,[TROY] HHF + CV death
12,12,12,[TROY] Stroke + systemic embolism
107,107,107,[TROY] Rivaroxaban (RCT-ROCKETAF) v3.33
111,111,111,[TROY] Apixaban v3.33
115,115,115,[TROY] Ticagrelor (PLATO) v3.33
119,119,119,[TROY] Ticagrelor v3.33
123,123,123,[TROY] DPP-4 (LEADER) v3.33
127,127,127,[TROY] Empagliflozin (EMPA-REG OUTCOME)v3.33
131,131,131,[TROY] Dapagliflozin v3.33
135,135,135,[TROY] Linagliptin (CARMELINA) v3.33
139,139,139,[TROY] Saxagliptin (SAVOR-TIMI 53) v3.33
143,143,143,[TROY] Linagliptin v3.33
147,147,147,[TROY] Glimepiride v3.33
108,108,108,[TROY] Warfarin (RCT-ROCKETAF) v3.33
112,112,112,[TROY] Rivaroxaban v3.33
116,116,116,[TROY] Clopidogrel (PLATO) v3.33
120,120,120,[TROY] Prasugrel v3.33
124,124,124,[TROY] Liraglutide v3.33
128,128,128,[TROY] DPP-4 (EMPA-REG OUTCOME)v3.33
132,132,132,[TROY] Empagliflozin v3.33
136,136,136,[TROY] SU (CARMELINA) v3.33
140,140,140,[TROY] SU (SAVOR-TIMI 53) v3.33
144,144,144,[TROY] Sitagliptin v3.33
105,105,105,[TROY] Apixaban (ARISTOTLE) v3.33
109,109,109,[TROY] Edoxaban (ENGAGEAF-TIMI48) v3.33
113,113,113,[TROY] Edoxaban v3.33
117,117,117,[TROY] Prasugrel (TRITON-TIMI 38) v3.33
121,121,121,[TROY] Clopidogrel v3.33
125,125,125,[TROY] Dapagliflozin (DECLARE-TIMI 58) v3.33
129,129,129,[TROY] Canagliflozin (CANVAS) v3.33
133,133,133,[TROY] Canagliflozin v3.33
137,137,137,[TROY] Sitagliptin (TECOS) v3.33
141,141,141,[TROY] Linagliptin (CAROLINA) v3.33
145,145,145,[TROY] Saxagliptin v3.33
106,106,106,[TROY] Warfarin (ARISTOTLE) v3.33
110,110,110,[TROY] Warfarin (ENGAGEAF-TIMI48) v3.33
114,114,114,[TROY] Warfarin v3.33
118,118,118,[TROY] Clopidogrel (TRITON-TIMI 38) v3.33
122,122,122,[TROY] Liraglutide (LEADER) v3.33
126,126,126,[TROY] DPP-4 (DECLARE-TIMI 58) v3.33
130,130,130,[TROY] DPP-4 (CANVAS) v3.33
134,134,134,[TROY] DPP-4 v3.33
138,138,138,[TROY] SU (TECOS) v3.33
142,142,142,[TROY] Glimepiride (CAROLINA) v3.33
146,146,146,[TROY] Sulfonylureas v3.33
